"Viewer version","2.91"
"Measure start time","14 May 2025 13:04:19"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"0","0.0798","40.600"
"1","0.1758","40.000"
"2","0.3036","43.600"
"3","0.3995","40.400"
"4","0.4954","37.600"
"5","0.5753","39.200"
"6","0.6709","38.200"
"7","0.7672","40.000"
"8","0.8952","39.400"
"9","0.9907","37.400"
"10","1.0547","34.000"
"11","1.1823","34.800"
"12","1.2783","35.200"
"13","1.3742","37.200"
"14","1.5018","37.200"
"15","1.5977","35.800"
"16","1.6936","36.800"
"17","1.7737","37.000"
"18","1.8694","35.400"
"19","1.9653","33.000"
"20","2.0614","34.400"
"21","2.1889","34.600"
"22","2.2850","34.600"
"23","2.3807","34.400"
"24","2.4767","33.800"
"25","2.5565","33.400"
"26","2.6526","33.000"
"27","2.7804","32.600"
"28","2.8762","32.000"
"29","2.9721","29.600"
"30","3.0997","29.200"
"31","3.1958","26.000"
"32","3.2597","28.200"
"33","3.3556","27.800"
"34","3.4833","24.200"
"35","3.5632","22.600"
"36","3.6593","21.400"
"37","3.7872","21.200"
"38","3.8508","21.400"
"39","3.9788","19.400"
"40","4.0748","21.000"
"41","4.1705","23.000"
"42","4.2822","21.200"
"43","4.3782","22.600"
"44","4.4740","22.600"
"45","4.5701","21.000"
"46","4.6662","23.400"
"47","4.7622","25.400"
"48","4.8576","21.800"
"49","5.0015","21.400"
"50","5.0973","21.000"
"51","5.1614","19.400"
"52","5.2571","17.600"
"53","5.3531","17.600"
"54","5.4809","18.800"
"55","5.5768","17.000"
"56","5.6566","16.000"
"57","5.7525","16.200"
"58","5.8485","16.400"
"59","5.9444","16.200"
"60","6.0880","17.000"
"61","6.1842","17.600"
"62","6.2799","16.600"
"63","6.3437","16.600"
"64","6.4716","18.400"
"65","6.5675","17.600"
"66","6.6474","15.600"
"67","6.7912","17.400"
"68","6.8870","18.600"
"69","6.9512","20.000"
"70","7.0469","21.400"
"71","7.1430","22.200"
"72","7.2708","20.000"
"73","7.3507","19.400"
"74","7.4472","19.000"
"75","7.5744","16.200"
"76","7.6381","16.000"
"77","7.7341","17.600"
"78","7.8620","14.600"
