"Viewer version","2.91"
"Measure start time","15 May 2025 14:09:34"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"5","0.5591","-77.800"
"6","0.6871","-75.600"
"7","0.7828","-76.000"
"8","0.8786","-73.000"
"9","1.0068","-72.600"
"10","1.1025","-67.800"
"11","1.1983","-67.000"
"12","1.2943","-66.000"
"13","1.3580","-65.000"
"14","1.4861","-64.400"
"15","1.5817","-65.200"
"16","1.6775","-67.400"
"17","1.7734","-66.400"
"18","1.8693","-65.800"
"19","1.9651","-63.400"
"20","2.0771","-62.200"
"21","2.1889","-63.400"
"22","2.2849","-62.000"
"23","2.3808","-63.400"
"24","2.4767","-60.800"
"25","2.5724","-61.400"
"26","2.6683","-62.600"
"27","2.7643","-60.800"
"28","2.8602","-60.400"
"29","3.0040","-58.800"
"30","3.0998","-59.400"
"31","3.1957","-60.000"
"32","3.2755","-61.400"
"33","3.3875","-62.200"
"34","3.4512","-63.200"
"35","3.5792","-64.200"
"36","3.6751","-63.400"
"37","3.7709","-62.200"
"38","3.8988","-60.000"
"39","3.9947","-58.800"
"40","4.0745","-58.400"
"41","4.1704","-58.600"
"42","4.2663","-57.200"
"43","4.3624","-58.400"
"44","4.4580","-58.400"
"45","4.6019","-56.800"
"46","4.6659","-58.600"
"47","4.7618","-55.400"
"48","4.8576","-54.800"
"49","4.9533","-52.200"
"50","5.0492","-49.400"
"51","5.1775","-49.200"
"52","5.2732","-49.200"
"53","5.3530","-47.800"
"54","5.4490","-48.800"
"55","5.5448","-50.800"
"56","5.6724","-53.000"
"57","5.7684","-52.800"
"58","5.8641","-53.400"
"59","5.9441","-54.400"
"60","6.0399","-54.600"
"61","6.1681","-54.400"
"62","6.2638","-54.600"
