"Viewer version","2.91"
"Measure start time","15 May 2025 12:24:03"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"6","0.6710","29.800"
"7","0.7669","30.600"
"8","0.8629","29.200"
"9","0.9909","29.200"
"10","1.0708","28.800"
"11","1.1986","30.600"
"12","1.2624","29.000"
"13","1.3582","30.200"
"14","1.4862","32.000"
"15","1.5820","32.200"
"16","1.6780","33.000"
"17","1.7899","32.000"
"18","1.8857","30.600"
"19","1.9656","28.600"
"20","2.0615","29.400"
"21","2.1577","30.200"
"22","2.2857","30.000"
"23","2.3808","31.200"
"24","2.4767","31.600"
"25","2.5568","32.600"
"26","2.6846","32.200"
"27","2.7804","34.600"
"28","2.8764","34.800"
"29","2.9721","33.800"
"30","3.0678","34.000"
"31","3.1638","30.200"
"32","3.2919","27.200"
"33","3.3878","22.200"
"34","3.4515","20.800"
"35","3.5477","17.200"
"36","3.6756","14.200"
"37","3.7551","11.800"
"38","3.8991","9.200"
"39","3.9948","10.400"
"40","4.0746","9.200"
"41","4.1706","8.200"
"42","4.2666","8.800"
"43","4.3944","7.600"
"44","4.4904","5.400"
"45","4.5863","5.000"
"46","4.6501","7.200"
"47","4.7457","5.600"
"48","4.8739","5.800"
"49","4.9538","9.000"
"50","5.0974","7.600"
"51","5.1935","7.800"
"52","5.2574","6.200"
"53","5.3531","6.400"
"54","5.4494","6.800"
"55","5.5611","5.200"
"56","5.6888","6.200"
"57","5.7848","6.800"
"58","5.8806","3.600"
"59","5.9445","1.200"
"60","6.0406","3.400"
"61","6.1683","2.600"
"62","6.2643","3.200"
"63","6.3442","2.400"
"64","6.4882","6.000"
"65","6.5838","6.800"
"66","6.6477","5.400"
"67","6.7437","4.400"
"68","6.8397","6.400"
"69","6.9675","7.200"
"70","7.0473","6.200"
"71","7.1437","7.200"
"72","7.2710","8.200"
"73","7.3351","8.000"
"74","7.4631","9.600"
"75","7.5588","9.600"
"76","7.6387","9.200"
"77","7.7664","9.200"
"78","7.8623","10.400"
"79","7.9581","7.600"
"80","8.0543","8.400"
"81","8.1501","8.200"
"82","8.2459","8.200"
"83","8.3419","6.800"
"84","8.4695","7.600"
"85","8.5655","7.400"
"86","8.6613","7.400"
"87","8.7252","6.000"
"88","8.8533","5.200"
"89","8.9491","5.800"
"90","9.0452","4.000"
"91","9.1409","3.400"
"92","9.2368","4.800"
"93","9.3645","5.600"
"94","9.4284","3.200"
"95","9.5561","4.200"
"96","9.6359","4.400"
"97","9.7641","5.600"
"98","9.8598","5.800"
"99","9.9555","3.800"
"100","10.0354","5.200"
"101","10.1315","4.400"
"102","10.2273","3.800"
"103","10.3557","4.400"
"104","10.4671","3.000"
"105","10.5627","3.800"
"106","10.6428","4.200"
"107","10.7387","6.000"
"108","10.8345","7.600"
"109","10.9307","7.400"
"110","11.0265","7.200"
"111","11.1383","7.400"
"112","11.2341","5.400"
"113","11.3301","7.800"
"114","11.4740","5.400"
"115","11.5378","6.200"
"116","11.6336","6.800"
"117","11.7297","5.400"
"118","11.8576","2.800"
"119","11.9530","3.400"
"120","12.0491","4.600"
"121","12.1288","3.800"
"122","12.2247","5.200"
"123","12.3207","4.000"
"124","12.4326","4.600"
"125","12.5284","3.800"
"126","12.6244","4.400"
"127","12.7362","3.800"
"128","12.8320","1.200"
"129","12.9278","-0.200"
"130","13.0239","0.600"
"131","13.1516","1.400"
"132","13.2476","2.800"
"133","13.3434","1.600"
"134","13.4234","0.600"
"135","13.5192","-0.200"
"136","13.6150","2.000"
"137","13.7428","0.200"
"138","13.8554","1.000"
"139","13.9505","0.200"
"140","14.0143","-1.800"
"141","14.1105","-0.400"
"142","14.2381","-1.200"
"143","14.3500","-2.800"
"144","14.4457","-4.000"
"145","14.5099","-6.000"
"146","14.6056","-6.400"
"147","14.7337","-6.600"
"148","14.8293","-4.200"
"149","14.9253","-5.000"
"150","15.0051","-5.000"
"151","15.1332","-5.600"
"152","15.2287","-5.600"
"153","15.3246","-6.600"
"154","15.4524","-6.000"
"155","15.5483","-3.200"
"156","15.6279","-1.800"
"157","15.7242","0.000"
"158","15.8202","-1.400"
"159","15.9159","-0.800"
"160","16.0436","-0.200"
"161","16.1394","0.400"
"162","16.2354","2.400"
"163","16.2993","1.600"
"164","16.4271","0.800"
"165","16.5231","0.000"
"166","16.6190","0.400"
"167","16.7151","-0.200"
"168","16.8107","-1.600"
"169","16.9066","-2.800"
"170","17.0024","-3.200"
"171","17.0986","-0.600"
"172","17.2262","0.200"
"173","17.3222","-0.800"
"174","17.4178","0.200"
"175","17.5138","-0.400"
"176","17.6096","-1.600"
"177","17.7058","-1.200"
"178","17.8335","1.200"
"179","17.9291","2.400"
"180","18.0251","5.400"
"181","18.1049","4.200"
"182","18.2009","6.200"
"183","18.2973","11.000"
"184","18.3927","9.600"
"185","18.5207","8.600"
"186","18.6163","10.000"
"187","18.7122","9.400"
"188","18.7924","10.000"
"189","18.8882","11.800"
"190","19.0158","12.200"
"191","19.1117","13.000"
"192","19.2400","14.800"
"193","19.3357","11.800"
"194","19.4312","12.800"
"195","19.4953","13.200"
"196","19.5911","11.000"
"197","19.6869","10.600"
"198","19.8148","9.600"
"199","19.8946","7.200"
"200","20.0384","10.200"
"201","20.1342","8.600"
"202","20.2303","11.000"
"203","20.2942","11.800"
"204","20.3897","10.000"
"205","20.4859","11.400"
"206","20.6136","11.800"
"207","20.6935","16.400"
"208","20.8372","16.400"
"209","20.9012","18.400"
"210","20.9969","18.800"
"211","21.0932","19.000"
"212","21.1888","19.000"
"213","21.2848","19.800"
"214","21.4284","20.400"
"215","21.5084","21.200"
"216","21.6044","20.000"
"217","21.7002","21.200"
"218","21.8123","22.400"
"219","21.9082","22.400"
"220","22.0038","22.200"
"221","22.0837","23.400"
"222","22.1802","22.200"
"223","22.3074","24.600"
"224","22.4033","25.000"
"225","22.4991","25.600"
"226","22.5947","27.200"
"227","22.6911","28.800"
"228","22.7870","27.400"
"229","22.8827","35.000"
"230","22.9787","559.800"
"231","23.1064","789.400"
"232","23.2021","848.000"
"233","23.2980","858.000"
"234","23.3941","850.800"
"235","23.4900","842.400"
"236","23.5859","833.200"
"237","23.6974","823.400"
"238","23.7935","816.200"
"239","23.8892","809.000"
"240","23.9853","800.600"
"241","24.0811","790.600"
"242","24.1775","784.800"
"243","24.2889","779.000"
"244","24.3848","771.000"
"245","24.4804","763.200"
"246","24.6084","754.400"
"247","24.6723","746.400"
