"Viewer version","2.91"
"Measure start time","15 May 2025 10:39:24"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"56","5.6721","19.400"
"57","5.7683","23.200"
"58","5.8641","21.000"
"59","5.9599","22.600"
"60","6.0396","23.000"
"61","6.1679","22.600"
"62","6.2634","23.800"
"63","6.3434","24.800"
"64","6.4871","26.400"
"65","6.5670","26.400"
"66","6.6630","26.800"
"67","6.7587","23.600"
"68","6.8546","24.400"
"69","6.9509","24.800"
"70","7.0466","25.000"
"71","7.1585","25.400"
"72","7.2542","26.800"
"73","7.3503","25.000"
"74","7.4780","25.400"
"75","7.5741","27.400"
"76","7.6696","27.000"
"77","7.7335","27.200"
"78","7.8615","27.400"
"79","7.9574","27.400"
"80","8.0530","25.600"
"81","8.1493","26.400"
"82","8.2449","28.200"
"83","8.3410","27.400"
"84","8.4366","25.000"
"85","8.5327","22.600"
"86","8.6604","27.200"
"87","8.7563","28.000"
"88","8.8520","29.000"
"89","8.9320","29.200"
"90","9.0280","28.800"
"91","9.1557","28.200"
"92","9.2355","28.200"
"93","9.3638","30.000"
"94","9.4598","31.600"
"95","9.5556","30.800"
"96","9.6511","29.200"
"97","9.7472","26.800"
"98","9.8432","27.200"
"99","9.9390","27.200"
"100","10.0347","27.400"
"101","10.1787","25.800"
"102","10.2425","26.400"
"103","10.3383","27.600"
"104","10.4344","27.400"
"105","10.5304","27.000"
"106","10.6582","26.000"
"107","10.7542","25.200"
"108","10.8500","25.400"
"109","10.9457","25.000"
"110","11.0416","27.200"
"111","11.1374","24.200"
"112","11.2334","25.800"
"113","11.3293","26.000"
"114","11.4572","26.400"
"115","11.5209","26.000"
"116","11.6488","27.400"
"117","11.7452","26.600"
"118","11.8246","27.200"
"119","11.9688","27.400"
"120","12.0645","26.000"
"121","12.1601","26.600"
"122","12.2242","26.800"
"123","12.3201","27.200"
"124","12.4480","28.800"
"125","12.5279","28.200"
"126","12.6238","26.600"
"127","12.7677","28.000"
"128","12.8315","27.800"
"129","12.9274","27.600"
"130","13.0234","28.600"
"131","13.1194","27.400"
"132","13.2312","27.200"
"133","13.3268","25.400"
"134","13.4227","24.600"
"135","13.5186","25.200"
"136","13.6145","27.200"
"137","13.7423","25.000"
"138","13.8544","25.800"
"139","13.9504","28.000"
"140","14.0465","27.200"
"141","14.1099","27.800"
"142","14.2377","28.200"
"143","14.3339","26.600"
"144","14.4296","24.400"
"145","14.5573","24.400"
"146","14.6531","22.400"
"147","14.7491","23.600"
"148","14.8131","25.000"
"149","14.9088","24.000"
"150","15.0209","24.200"
"151","15.1167","23.000"
"152","15.2606","21.200"
"153","15.3404","21.600"
"154","15.4046","19.800"
"155","15.5321","17.200"
"156","15.6280","15.400"
"157","15.7561","16.000"
"158","15.8519","12.000"
"159","15.9319","13.800"
"160","16.0277","12.400"
"161","16.1237","9.200"
"162","16.2196","10.600"
"163","16.3153","11.600"
"164","16.4113","11.400"
"165","16.5397","12.000"
"166","16.6028","11.600"
"167","16.6989","11.200"
"168","16.8268","11.800"
"169","16.9228","11.800"
"170","17.0025","11.400"
"171","17.1304","11.000"
"172","17.2261","8.200"
"173","17.3221","4.000"
"174","17.4182","6.600"
"175","17.5147","4.800"
"176","17.6100","5.000"
"177","17.7375","5.600"
"178","17.8015","3.600"
"179","17.8976","1.800"
"180","18.0256","-0.600"
"181","18.1051","0.400"
"182","18.2493","0.200"
"183","18.3291","-2.400"
"184","18.3929","-4.000"
"185","18.5209","-5.000"
"186","18.6164","-1.400"
"187","18.7285","-0.800"
"188","18.8244","-3.000"
"189","18.9042","-2.800"
"190","19.0000","-2.800"
"191","19.0959","-4.800"
"192","19.2236","-4.200"
"193","19.3197","-5.400"
"194","19.4156","-5.800"
"195","19.5118","-7.200"
"196","19.6074","-7.000"
"197","19.7033","-7.800"
"198","19.7991","-6.400"
"199","19.9108","-9.600"
"200","20.0067","-8.000"
"201","20.1025","-7.800"
"202","20.1985","-12.600"
"203","20.2944","-12.800"
"204","20.3900","-12.600"
"205","20.5178","-14.600"
"206","20.5978","-14.600"
"207","20.7414","-13.600"
"208","20.8055","-14.000"
"209","20.9014","-16.200"
"210","20.9975","-17.000"
"211","21.0935","-15.800"
"212","21.2369","-17.400"
"213","21.3330","-16.000"
"214","21.4286","-17.400"
"215","21.4927","-18.200"
"216","21.5886","-19.600"
"217","21.6842","-18.200"
"218","21.8125","-18.800"
"219","21.9080","-19.200"
"220","21.9879","-15.600"
"221","22.0838","-14.400"
"222","22.1796","-14.400"
"223","22.3074","-16.000"
"224","22.4032","-16.000"
"225","22.4993","-14.000"
"226","22.5953","-15.600"
"227","22.6910","-15.600"
"228","22.7870","-14.400"
"229","22.8827","-12.000"
"230","23.0266","-13.200"
"231","23.1224","-12.600"
"232","23.2185","-11.400"
"233","23.2823","-11.000"
"234","23.3780","-11.600"
"235","23.5059","-7.800"
"236","23.6020","-6.000"
"237","23.6977","-6.000"
"238","23.7936","-4.600"
"239","23.8894","-3.400"
"240","23.9850","-3.800"
"241","24.0811","-4.200"
"242","24.1770","-5.000"
"243","24.3047","431.800"
"244","24.4005","786.000"
"245","24.4805","853.800"
"246","24.5764","863.000"
"247","24.6724","853.400"
"248","24.8002","838.600"
"249","24.8959","826.400"
"250","24.9921","815.800"
"251","25.0880","806.000"
"252","25.1837","797.000"
"253","25.2796","789.000"
"254","25.3914","779.600"
"255","25.4871","773.000"
"256","25.5831","763.400"
"257","25.6788","757.200"
"258","25.7748","750.800"
"259","25.8708","744.200"
"260","25.9983","736.600"
"261","26.0781","731.000"
"262","26.1742","725.400"
"263","26.3018","717.000"
"264","26.3660","712.800"
"265","26.4937","704.600"
"266","26.5897","698.800"
"267","26.6694","689.000"
"268","26.8134","683.600"
"269","26.9090","677.000"
"270","26.9731","669.200"
"271","27.0689","660.200"
"272","27.1648","654.200"
"273","27.2765","648.400"
"274","27.3726","642.800"
"275","27.4686","635.200"
"276","27.5961","630.200"
"277","27.6601","625.200"
"278","27.7880","619.200"
