"Viewer version","2.91"
"Measure start time","12 May 2025 10:18:23"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"9","0.9583","44.400"
"10","1.0860","43.200"
"11","1.1819","44.000"
"12","1.2780","46.600"
"13","1.3899","45.600"
"14","1.4856","45.000"
"15","1.5655","46.200"
"16","1.7093","47.400"
"17","1.7893","46.400"
"18","1.8531","47.400"
"19","1.9810","46.600"
"20","2.0768","47.200"
"21","2.1728","47.600"
"22","2.2525","49.400"
"23","2.3811","48.600"
"24","2.4762","49.400"
"25","2.5721","49.600"
"26","2.6681","50.000"
"27","2.7640","49.400"
"28","2.8919","51.800"
"29","2.9877","49.400"
"30","3.0835","49.800"
"31","3.1797","52.800"
"32","3.2753","53.600"
"33","3.3708","52.400"
"34","3.4669","51.600"
"35","3.5628","52.000"
"36","3.6747","52.000"
"37","3.7710","50.400"
"38","3.8666","53.400"
"39","3.9621","53.800"
"40","4.0583","55.200"
"41","4.1703","55.400"
"42","4.2660","55.400"
"43","4.3619","55.400"
"44","4.4896","58.800"
"45","4.5854","59.400"
"46","4.6653","58.000"
"47","4.7614","59.400"
"48","4.8571","58.400"
"49","4.9529","58.600"
"50","5.0809","59.800"
"51","5.1769","59.800"
"52","5.2727","57.800"
"53","5.3683","56.600"
"54","5.4642","55.600"
"55","5.5601","55.200"
"56","5.6559","56.800"
"57","5.7519","56.000"
"58","5.8478","57.200"
"59","5.9919","53.200"
"60","6.0714","53.400"
"61","6.1673","53.400"
"62","6.2634","55.600"
"63","6.3591","53.400"
"64","6.4549","56.000"
"65","6.5509","54.200"
"66","6.6946","53.200"
"67","6.7906","54.000"
"68","6.8862","55.400"
"69","6.9502","54.200"
"70","7.0462","56.200"
"71","7.1422","56.600"
