"Viewer version","2.91"
"Measure start time","13 May 2025 10:13:14"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"11","1.1664","-402.000"
"12","1.2789","-399.400"
"13","1.3745","-396.200"
"14","1.4701","-394.600"
"15","1.5820","-388.200"
"16","1.7096","-387.000"
"17","1.8054","-384.600"
"18","1.9013","-380.000"
"19","1.9811","-377.600"
"20","2.0770","-376.000"
"21","2.1729","-371.200"
"22","2.2690","-366.400"
"23","2.3650","-363.800"
"24","2.4767","-362.400"
"25","2.5725","-360.200"
"26","2.6684","-356.200"
"27","2.7645","-353.600"
"28","2.8600","-350.400"
"29","2.9720","-349.200"
"30","3.0679","-345.200"
"31","3.1477","-344.400"
"32","3.2755","-342.200"
"33","3.3716","-339.200"
"34","3.4676","-337.200"
"35","3.5953","-334.200"
"36","3.6910","-332.000"
"37","3.7552","-329.800"
"38","3.8508","-327.800"
"39","3.9788","-325.400"
"40","4.0586","-325.200"
"41","4.1545","-321.200"
"42","4.2988","-319.600"
"43","4.3623","-318.200"
"44","4.4581","-314.600"
"45","4.5540","-310.400"
"46","4.6497","-308.400"
"47","4.7617","-305.800"
"48","4.8579","-305.200"
"49","4.9695","-303.200"
"50","5.0655","-301.600"
"51","5.1614","-300.200"
"52","5.2569","-296.800"
"53","5.3528","-292.400"
"54","5.4648","-290.400"
"55","5.5607","-289.800"
"56","5.6571","-287.400"
"57","5.7526","-285.800"
"58","5.8645","-284.600"
"59","5.9601","-281.600"
"60","6.0563","-280.000"
"61","6.1518","-278.400"
"62","6.2478","-274.400"
"63","6.3915","-275.800"
"64","6.4552","-274.000"
"65","6.5513","-276.600"
"66","6.6473","-268.200"
"67","6.7429","-264.600"
"68","6.8707","-265.600"
"69","6.9666","-265.200"
"70","7.0627","-262.400"
"71","7.1583","-262.000"
"72","7.2545","-257.800"
"73","7.3503","-255.200"
"74","7.4462","-254.200"
"75","7.5420","-253.600"
"76","7.6376","-252.600"
"77","7.7655","-248.600"
"78","7.8621","-247.600"
"79","7.9573","-245.800"
"80","8.0371","-244.600"
"81","8.1332","-241.200"
"82","8.2611","-241.000"
"83","8.3410","-239.800"
"84","8.4367","-241.200"
"85","8.5647","-239.000"
"86","8.6285","-237.800"
"87","8.7563","-236.200"
"88","8.8522","-235.200"
"89","8.9642","-234.400"
"90","9.0601","-230.200"
"91","9.1399","-229.600"
"92","9.2359","-228.400"
"93","9.3319","-227.000"
"94","9.4596","-225.400"
"95","9.5554","-223.400"
"96","9.6514","-222.400"
"97","9.7473","-220.200"
"98","9.8433","-218.000"
"99","9.9389","-214.600"
"100","10.0670","-213.000"
"101","10.1625","-212.800"
"102","10.2587","-208.600"
"103","10.3225","-206.600"
"104","10.4501","-206.000"
"105","10.5463","-204.400"
"106","10.6420","-201.200"
"107","10.7378","-201.600"
"108","10.8336","-198.800"
"109","10.9617","-195.000"
"110","11.0254","-193.800"
"111","11.1214","-193.200"
"112","11.2491","-191.400"
"113","11.3451","-189.000"
"114","11.4409","-189.200"
"115","11.5368","-186.600"
"116","11.6327","-185.000"
"117","11.7286","-184.400"
"118","11.8243","-182.800"
"119","11.9524","-183.200"
"120","12.0481","-181.000"
"121","12.1440","-181.400"
"122","12.2398","-181.200"
"123","12.3356","-180.400"
"124","12.4474","-178.800"
"125","12.5437","-177.400"
"126","12.6393","-177.000"
"127","12.7191","-175.400"
"128","12.8150","-174.800"
"129","12.9431","-173.200"
"130","13.0230","-172.800"
"131","13.1668","-173.200"
"132","13.2307","-171.400"
"133","13.3266","-169.600"
"134","13.4223","-168.200"
"135","13.5183","-168.200"
"136","13.6461","-166.800"
"137","13.7418","-166.800"
"138","13.8380","-166.600"
"139","13.9337","-165.400"
"140","14.0296","-165.600"
"141","14.1254","-165.600"
"142","14.2213","-163.400"
"143","14.3490","-164.000"
"144","14.4450","-164.200"
"145","14.5412","-161.800"
"146","14.6051","-162.400"
"147","14.7328","-160.800"
"148","14.8286","-159.800"
"149","14.9565","-160.000"
"150","15.0522","-155.400"
"151","15.1481","-155.200"
"152","15.2119","-151.600"
"153","15.3080","-151.000"
"154","15.4358","-151.800"
"155","15.5318","-149.200"
"156","15.6117","-148.800"
"157","15.7555","-148.800"
"158","15.8514","-150.200"
"159","15.9151","-148.800"
"160","16.0110","-148.000"
"161","16.1070","-148.000"
"162","16.2348","-147.800"
"163","16.3145","-146.400"
"164","16.4102","-147.400"
"165","16.5550","-147.400"
"166","16.6502","-145.600"
"167","16.7299","-144.400"
"168","16.8259","-143.400"
"169","16.9218","-141.600"
"170","17.0178","-141.400"
"171","17.1136","-141.200"
"172","17.2093","-139.200"
"173","17.3052","-140.000"
"174","17.4012","-137.600"
"175","17.5290","-137.400"
"176","17.6249","-136.600"
"177","17.7209","-137.400"
"178","17.8166","-138.400"
"179","17.9126","-135.400"
"180","18.0086","-134.000"
"181","18.1363","-132.800"
"182","18.2322","-131.800"
"183","18.3278","-131.600"
"184","18.3918","-132.200"
"185","18.5199","-128.000"
