"Viewer version","2.91"
"Measure start time","09 May 2025 11:25:18"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"28","2.8604","-14.600"
"29","2.9887","-14.800"
"30","3.0840","-12.600"
"31","3.1641","-13.600"
"32","3.2598","-11.800"
"33","3.3558","-13.400"
"34","3.4516","-12.200"
"35","3.5793","-11.000"
"36","3.6750","-11.600"
"37","3.7711","-9.200"
"38","3.8509","-9.400"
"39","3.9470","-10.200"
"40","4.0747","-11.000"
"41","4.1705","-9.400"
"42","4.2666","-9.400"
"43","4.3787","-12.400"
"44","4.4742","-13.600"
"45","4.5541","-15.400"
"46","4.6498","-12.800"
"47","4.7461","-14.600"
"48","4.8739","-14.200"
"49","4.9696","-15.000"
"50","5.0655","-15.400"
"51","5.1615","-15.000"
"52","5.2572","-17.000"
"53","5.3534","-18.000"
"54","5.4490","-18.400"
"55","5.5930","-17.400"
"56","5.6731","-19.800"
"57","5.7687","-16.600"
"58","5.8486","-15.600"
"59","5.9445","-16.000"
"60","6.0404","-15.000"
"61","6.1682","-15.000"
"62","6.2482","-17.800"
"63","6.3919","-15.200"
"64","6.4716","-15.800"
"65","6.5358","-15.600"
"66","6.6634","-15.600"
"67","6.7598","-19.400"
"68","6.8552","-19.800"
"69","6.9511","-19.000"
"70","7.0470","-20.000"
"71","7.1430","-20.400"
"72","7.2387","-19.800"
"73","7.3664","-20.000"
"74","7.4625","-20.600"
"75","7.5584","-17.800"
"76","7.6542","-16.200"
"77","7.7506","-17.400"
"78","7.8303","-15.400"
"79","7.9578","-17.000"
"80","8.0540","-15.600"
"81","8.1496","-15.200"
"82","8.2617","-15.600"
"83","8.3574","-14.200"
"84","8.4534","-12.600"
"85","8.5496","-14.600"
"86","8.6453","-16.400"
"87","8.7414","-16.000"
"88","8.8373","-16.800"
"89","8.9809","-18.400"
"90","9.0608","-16.200"
"91","9.1248","-16.800"
"92","9.2527","-15.000"
"93","9.3486","-16.000"
"94","9.4443","-15.400"
"95","9.5405","-14.600"
"96","9.6523","-15.600"
"97","9.7480","-15.800"
"98","9.8441","-15.000"
"99","9.9397","-16.200"
"100","10.0518","-14.600"
"101","10.1476","-14.200"
"102","10.2433","-15.600"
"103","10.3397","-16.400"
"104","10.4352","-16.000"
"105","10.5311","399.600"
"106","10.6271","790.600"
"107","10.7707","883.800"
"108","10.8665","893.600"
"109","10.9624","883.800"
"110","11.0583","879.400"
"111","11.1225","867.200"
"112","11.2183","853.400"
"113","11.3463","845.600"
"114","11.4422","834.600"
"115","11.5379","825.000"
"116","11.6338","818.400"
"117","11.7298","808.800"
"118","11.8416","800.200"
"119","11.9373","791.800"
"120","12.0336","782.000"
"121","12.1610","775.200"
"122","12.2571","768.800"
"123","12.3530","759.600"
"124","12.4167","753.200"
"125","12.5447","741.800"
"126","12.6406","735.200"
"127","12.7365","734.800"
"128","12.8323","717.600"
"129","12.9283","717.600"
"130","13.0243","722.000"
"131","13.1201","709.600"
"132","13.2160","687.800"
"133","13.3597","684.200"
"134","13.4555","686.000"
"135","13.5356","680.200"
"136","13.6313","700.200"
"137","13.7272","664.800"
"138","13.8231","653.600"
"139","13.9190","653.400"
"140","14.0471","603.200"
"141","14.1429","635.200"
"142","14.2387","647.800"
"143","14.3346","615.800"
"144","14.4304","620.800"
"145","14.5264","613.400"
"146","14.6384","598.600"
"147","14.7342","606.400"
"148","14.8301","592.800"
"149","14.9258","589.400"
"150","15.0218","586.400"
"151","15.1178","575.600"
"152","15.2456","572.000"
"153","15.3414","564.400"
"154","15.4373","557.200"
"155","15.5011","551.000"
"156","15.6291","542.400"
"157","15.7249","539.000"
"158","15.8527","531.800"
"159","15.9486","524.600"
"160","16.0127","522.200"
"161","16.1082","512.200"
"162","16.2043","508.000"
"163","16.3480","505.000"
"164","16.4440","500.200"
"165","16.5240","497.000"
"166","16.6200","493.200"
"167","16.7157","487.800"
"168","16.8117","482.400"
"169","16.9077","478.800"
"170","17.0516","472.600"
"171","17.1473","465.800"
"172","17.2272","459.400"
"173","17.3231","451.400"
"174","17.4192","449.000"
"175","17.5148","445.600"
"176","17.6112","438.000"
"177","17.7065","433.800"
"178","17.8345","427.200"
"179","17.8986","422.400"
"180","17.9944","416.400"
"181","18.1222","414.400"
"182","18.2183","409.600"
"183","18.3142","406.200"
"184","18.3939","400.600"
"185","18.4900","394.800"
"186","18.6178","387.600"
"187","18.7135","382.400"
"188","18.8255","376.800"
"189","18.9213","371.800"
"190","19.0015","366.200"
"191","19.0973","363.000"
"192","19.1933","359.400"
"193","19.3050","356.200"
"194","19.4013","351.600"
"195","19.4968","346.600"
"196","19.6406","338.800"
"197","19.7045","333.400"
"198","19.8004","332.200"
"199","19.8964","326.200"
"200","20.0244","322.200"
"201","20.1202","317.200"
"202","20.2002","315.600"
"203","20.2961","312.600"
"204","20.3920","308.600"
"205","20.4877","305.000"
"206","20.6315","302.200"
"207","20.7273","300.600"
"208","20.8231","297.600"
"209","20.8873","295.600"
"210","20.9832","291.800"
"211","21.0948","286.800"
"212","21.1909","282.400"
"213","21.3192","279.600"
"214","21.4144","279.400"
"215","21.4944","273.200"
"216","21.5904","271.400"
"217","21.6863","268.200"
"218","21.7982","264.600"
"219","21.8941","260.000"
"220","21.9896","256.800"
"221","22.0856","256.200"
"222","22.1814","256.000"
"223","22.3094","251.400"
"224","22.4054","251.000"
"225","22.4850","248.000"
"226","22.5810","250.200"
"227","22.7088","247.200"
"228","22.7887","245.800"
"229","22.8846","243.800"
"230","22.9964","242.400"
"231","23.0922","239.200"
"232","23.1883","233.800"
"233","23.2842","230.600"
"234","23.4124","227.600"
"235","23.5082","224.400"
"236","23.5877","221.600"
"237","23.6837","217.800"
"238","23.7795","214.600"
"239","23.8756","216.000"
"240","24.0035","212.800"
"241","24.0994","209.600"
"242","24.1951","207.600"
"243","24.2910","204.400"
"244","24.3870","201.000"
"245","24.4829","198.800"
"246","24.5786","197.600"
"247","24.6912","193.200"
"248","24.7863","190.400"
"249","24.8662","188.800"
"250","24.9943","187.200"
"251","25.0900","186.400"
"252","25.1858","184.200"
"253","25.2817","181.400"
"254","25.3781","179.600"
"255","25.5053","175.000"
"256","25.5695","175.200"
"257","25.6974","171.800"
"258","25.7932","170.000"
"259","25.8894","168.200"
"260","25.9848","166.400"
"261","26.0808","161.600"
"262","26.1764","159.200"
"263","26.2724","158.800"
"264","26.3684","157.400"
"265","26.5124","153.600"
"266","26.6082","148.000"
"267","26.6721","144.400"
"268","26.7681","143.200"
"269","26.8639","140.000"
"270","26.9915","134.600"
"271","27.0875","133.400"
"272","27.1832","127.600"
