"Viewer version","2.91"
"Measure start time","13 May 2025 14:35:51"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"6","0.6869","175.600"
"7","0.7831","173.000"
"8","0.8628","171.600"
"9","0.9907","169.600"
"10","1.0708","169.200"
"11","1.1666","169.600"
"12","1.2942","168.800"
"13","1.3901","168.600"
"14","1.4701","165.400"
"15","1.5661","164.400"
"16","1.6619","165.200"
"17","1.7899","167.400"
"18","1.8854","165.200"
"19","1.9814","162.400"
"20","2.0773","160.600"
"21","2.1573","160.600"
"22","2.2851","161.000"
"23","2.3808","161.400"
"24","2.4608","160.200"
"25","2.5888","160.000"
"26","2.6844","162.000"
"27","2.7644","158.200"
"28","2.8602","158.200"
"29","2.9565","155.600"
"30","3.0843","154.200"
"31","3.1800","153.200"
"32","3.2758","152.200"
"33","3.3557","149.400"
"34","3.4517","147.600"
"35","3.5793","145.600"
"36","3.6753","144.600"
"37","3.7710","147.000"
"38","3.8671","146.600"
"39","3.9628","145.600"
"40","4.0746","145.400"
"41","4.1705","144.000"
"42","4.2663","141.600"
"43","4.3623","143.000"
"44","4.4583","140.400"
"45","4.5545","139.200"
"46","4.6824","138.400"
"47","4.7459","137.800"
"48","4.8736","136.000"
"49","4.9696","135.400"
"50","5.0652","134.800"
"51","5.1933","132.400"
"52","5.2890","135.400"
"53","5.3688","132.800"
"54","5.4647","132.800"
"55","5.5606","132.600"
"56","5.6564","131.600"
"57","5.7522","129.600"
"58","5.8481","130.400"
"59","5.9761","128.200"
"60","6.0720","127.400"
"61","6.1679","126.800"
"62","6.2639","126.000"
"63","6.3599","125.600"
"64","6.4876","125.800"
"65","6.5836","123.400"
"66","6.6635","123.200"
"67","6.7595","125.800"
"68","6.8554","122.400"
"69","6.9507","120.000"
"70","7.0628","119.400"
"71","7.1591","117.000"
"72","7.2546","116.600"
"73","7.3505","116.000"
"74","7.4463","116.800"
"75","7.5422","115.000"
"76","7.6542","114.000"
"77","7.7510","113.800"
"78","7.8456","113.600"
"79","7.9896","114.400"
"80","8.0535","113.600"
"81","8.1495","115.400"
"82","8.2456","112.600"
"83","8.3413","111.200"
"84","8.4856","109.400"
"85","8.5809","108.600"
"86","8.6766","106.400"
"87","8.7726","109.400"
"88","8.8362","108.800"
"89","8.9321","107.600"
"90","9.0283","105.000"
"91","9.1559","106.600"
"92","9.2519","104.800"
"93","9.3797","104.200"
"94","9.4754","103.800"
"95","9.5715","106.400"
"96","9.6353","106.400"
"97","9.7313","107.000"
"98","9.8591","105.800"
"99","9.9550","106.800"
"100","10.0507","106.400"
"101","10.1465","107.800"
"102","10.2425","107.400"
"103","10.3383","106.200"
"104","10.4504","105.600"
"105","10.5459","104.000"
"106","10.6260","104.400"
"107","10.7539","105.000"
"108","10.8337","103.600"
"109","10.9614","101.400"
"110","11.0573","99.600"
"111","11.1533","99.000"
"112","11.2492","99.000"
"113","11.3450","97.200"
"114","11.4409","95.600"
"115","11.5368","97.000"
"116","11.6325","96.200"
"117","11.7765","96.000"
"118","11.8402","97.000"
"119","11.9360","93.600"
"120","12.0322","93.200"
"121","12.1278","92.200"
"122","12.2398","92.400"
"123","12.3356","93.200"
"124","12.4316","92.400"
"125","12.5274","90.800"
"126","12.6233","91.800"
"127","12.7673","90.200"
"128","12.8629","89.800"
"129","12.9269","88.800"
"130","13.0226","89.600"
"131","13.1666","89.600"
"132","13.2625","90.600"
"133","13.3423","91.200"
"134","13.4388","92.000"
"135","13.5340","89.400"
"136","13.6465","90.000"
"137","13.7416","87.400"
"138","13.8379","82.400"
"139","13.9338","80.000"
"140","14.0297","76.400"
"141","14.1255","73.400"
"142","14.2213","69.800"
"143","14.3170","68.800"
"144","14.4611","67.400"
"145","14.5248","64.800"
"146","14.6207","65.800"
"147","14.7166","65.200"
"148","14.8444","65.400"
"149","14.9405","65.000"
"150","15.0364","64.400"
"151","15.1320","64.400"
"152","15.2279","65.200"
"153","15.3238","66.200"
"154","15.4197","67.400"
"155","15.5158","67.600"
"156","15.6280","65.800"
"157","15.7232","66.600"
"158","15.8191","68.000"
"159","15.9153","68.000"
"160","16.0111","66.800"
"161","16.1230","69.400"
"162","16.2190","68.800"
"163","16.2989","70.000"
"164","16.4267","70.400"
"165","16.5226","69.800"
"166","16.6186","69.800"
"167","16.7146","69.600"
"168","16.8101","71.600"
"169","16.9221","72.000"
"170","17.0179","72.400"
"171","17.1137","71.200"
"172","17.2095","70.200"
"173","17.3378","69.200"
"174","17.4172","68.800"
"175","17.5133","69.800"
"176","17.6094","69.800"
"177","17.7531","66.400"
"178","17.8329","67.000"
"179","17.8969","65.600"
"180","18.0248","64.000"
"181","18.1207","64.200"
"182","18.2171","63.200"
"183","18.3124","60.600"
"184","18.3923","61.200"
"185","18.5201","60.200"
"186","18.6159","57.800"
"187","18.7119","56.800"
"188","18.8240","55.200"
"189","18.9198","53.400"
"190","19.0161","54.200"
"191","19.1115","53.600"
"192","19.2236","52.400"
"193","19.3191","55.400"
"194","19.4152","52.600"
"195","19.4951","51.400"
"196","19.5909","51.000"
"197","19.7192","48.000"
"198","19.8145","47.600"
"199","19.9103","48.800"
"200","20.0065","47.000"
"201","20.1182","46.800"
"202","20.2140","46.600"
"203","20.2940","45.800"
"204","20.4215","45.000"
"205","20.5175","44.800"
"206","20.6133","42.600"
"207","20.7093","42.400"
"208","20.8051","40.800"
"209","20.9331","40.400"
"210","21.0127","39.800"
"211","21.1087","38.400"
"212","21.2047","35.600"
"213","21.3005","35.600"
"214","21.3962","32.200"
"215","21.5081","32.400"
"216","21.6358","31.200"
"217","21.7321","29.600"
"218","21.8277","30.600"
"219","21.8918","32.200"
"220","21.9877","31.400"
"221","22.0836","32.000"
