"Viewer version","2.91"
"Measure start time","08 May 2025 14:08:44"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"32","3.2591","237.400"
"33","3.4028","235.400"
"34","3.4989","238.200"
"35","3.5946","237.800"
"36","3.6904","237.400"
"37","3.7864","235.000"
"38","3.8823","235.200"
"39","3.9780","235.800"
"40","4.0580","235.400"
"41","4.1698","234.000"
"42","4.2658","233.800"
"43","4.3616","232.400"
"44","4.4574","233.200"
"45","4.5532","232.000"
"46","4.6491","237.600"
"47","4.7448","227.200"
"48","4.8726","240.400"
"49","4.9685","230.200"
"50","5.0646","233.800"
"51","5.1603","232.600"
"52","5.2564","230.600"
"53","5.3521","233.000"
"54","5.4481","227.800"
"55","5.5439","232.400"
"56","5.6715","229.000"
"57","5.7674","228.600"
"58","5.8635","227.800"
"59","5.9592","228.600"
"60","6.0551","226.200"
"61","6.1509","229.200"
"62","6.2466","227.200"
"63","6.3426","227.600"
"64","6.4704","228.000"
"65","6.5663","226.000"
"66","6.6621","225.000"
"67","6.7582","224.800"
"68","6.8700","224.000"
"69","6.9659","222.600"
"70","7.0617","220.400"
"71","7.1575","221.000"
"72","7.2533","220.000"
"73","7.3493","219.800"
"74","7.4451","219.800"
"75","7.5890","219.600"
"76","7.6848","220.000"
"77","7.7805","220.200"
"78","7.8764","221.000"
"79","7.9562","220.000"
"80","8.0522","219.200"
"81","8.1481","220.000"
"82","8.2599","218.600"
"83","8.3556","217.800"
"84","8.4515","218.600"
"85","8.5474","216.200"
"86","8.6433","216.000"
"87","8.7392","216.400"
"88","8.8352","216.800"
"89","8.9309","217.200"
"90","9.0267","216.800"
"91","9.1547","216.200"
"92","9.2504","217.000"
"93","9.3462","217.800"
"94","9.4421","216.400"
"95","9.5379","216.800"
"96","9.6339","217.200"
"97","9.7297","214.400"
"98","9.8256","216.800"
"99","9.9531","217.000"
"100","10.0492","212.400"
"101","10.1450","212.600"
"102","10.2411","213.400"
"103","10.3370","212.600"
"104","10.4328","211.800"
"105","10.5284","211.200"
"106","10.6245","210.600"
"107","10.7521","209.400"
"108","10.8481","209.400"
"109","10.9441","211.400"
"110","11.0400","211.200"
"111","11.1358","210.400"
"112","11.2315","208.800"
"113","11.3273","208.400"
"114","11.4234","209.400"
"115","11.5192","210.800"
"116","11.6470","210.800"
"117","11.7430","209.600"
"118","11.8388","209.200"
"119","11.9347","208.000"
"120","12.0305","208.400"
"121","12.1263","207.400"
"122","12.2223","209.000"
"123","12.3182","207.600"
"124","12.4458","207.600"
"125","12.5419","208.200"
"126","12.6376","209.600"
"127","12.7336","211.000"
"128","12.8294","209.200"
"129","12.9415","210.000"
"130","13.0371","210.200"
"131","13.1331","212.400"
"132","13.2290","209.200"
"133","13.3407","209.800"
"134","13.4205","209.600"
"135","13.5164","208.400"
"136","13.6603","208.200"
"137","13.7562","210.600"
"138","13.8520","207.800"
"139","13.9478","206.800"
"140","14.0438","208.200"
"141","14.1398","205.400"
"142","14.2355","203.600"
"143","14.3315","205.400"
"144","14.4271","205.000"
"145","14.5231","203.600"
"146","14.6189","202.600"
"147","14.7148","200.800"
"148","14.8587","201.400"
"149","14.9545","203.000"
"150","15.0505","201.400"
"151","15.1463","200.800"
"152","15.2423","203.600"
"153","15.3381","201.800"
"154","15.4340","201.200"
"155","15.5297","201.800"
"156","15.6256","201.200"
"157","15.7215","199.800"
"158","15.8174","200.800"
"159","15.9134","200.400"
"160","16.0571","201.200"
"161","16.1527","199.800"
"162","16.2486","199.000"
"163","16.3447","199.000"
"164","16.4405","198.000"
"165","16.5365","196.600"
"166","16.6324","197.400"
"167","16.7282","197.600"
"168","16.8241","196.800"
