"Viewer version","2.91"
"Measure start time","09 May 2025 13:43:02"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"12","1.2943","336.600"
"13","1.3902","333.400"
"14","1.4545","331.600"
"15","1.5822","328.600"
"16","1.6623","324.400"
"17","1.8057","320.600"
"18","1.8859","318.600"
"19","1.9817","315.000"
"20","2.0773","312.800"
"21","2.1732","309.800"
"22","2.2855","308.400"
"23","2.3810","303.600"
"24","2.4770","301.600"
"25","2.5726","296.400"
"26","2.6685","294.000"
"27","2.7646","291.000"
"28","2.8603","287.800"
"29","3.0041","287.400"
"30","3.1003","285.200"
"31","3.1960","283.000"
"32","3.2599","279.000"
"33","3.3559","277.600"
"34","3.4518","276.600"
"35","3.5797","276.400"
"36","3.6757","274.800"
"37","3.7714","272.200"
"38","3.8513","269.000"
"39","3.9471","266.600"
"40","4.0755","264.600"
"41","4.1708","263.400"
"42","4.2668","263.400"
"43","4.3947","262.200"
"44","4.4903","260.800"
"45","4.5542","256.800"
"46","4.6505","255.800"
"47","4.7460","254.200"
"48","4.8740","252.000"
"49","4.9697","250.400"
"50","5.0655","245.200"
"51","5.1614","241.800"
"52","5.2413","239.200"
"53","5.3692","237.200"
"54","5.4655","234.600"
"55","5.5610","231.800"
"56","5.6575","227.000"
"57","5.7534","223.800"
"58","5.8805","220.800"
"59","5.9444","216.000"
"60","6.0403","213.400"
"61","6.1362","210.000"
"62","6.2643","206.000"
"63","6.3601","205.800"
"64","6.4880","202.600"
"65","6.5838","201.400"
"66","6.6478","199.400"
"67","6.7435","194.800"
"68","6.8395","190.600"
"69","6.9512","190.400"
"70","7.0470","187.800"
"71","7.1749","184.000"
"72","7.2386","179.800"
"73","7.3666","177.600"
"74","7.4626","175.600"
