"Viewer version","2.91"
"Measure start time","14 May 2025 14:48:44"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"5","0.5752","155.400"
"6","0.6871","155.400"
"7","0.7837","152.000"
"8","0.8796","149.000"
"9","0.9908","149.800"
"10","1.0868","146.800"
"11","1.1827","143.200"
"12","1.2624","142.000"
"13","1.3583","142.600"
"14","1.4860","142.600"
"15","1.5657","142.200"
"16","1.6617","142.200"
"17","1.7898","141.400"
"18","1.8856","140.200"
"19","1.9815","135.400"
"20","2.0616","136.200"
"21","2.1572","134.600"
"22","2.2851","132.200"
"23","2.3648","133.200"
"24","2.4930","131.400"
"25","2.5889","131.000"
"26","2.6687","131.000"
"27","2.7646","130.400"
"28","2.8602","129.800"
"29","2.9565","131.200"
"30","3.0841","129.800"
"31","3.1806","129.400"
"32","3.2756","128.600"
"33","3.3715","128.200"
"34","3.4676","125.000"
"35","3.5633","125.800"
"36","3.6910","123.800"
"37","3.7869","120.400"
"38","3.8829","119.600"
"39","3.9468","116.800"
"40","4.0746","112.200"
"41","4.1705","111.400"
"42","4.2985","109.200"
"43","4.3943","107.800"
"44","4.4579","104.200"
"45","4.5539","101.000"
"46","4.6498","100.400"
"47","4.7775","100.200"
"48","4.8735","98.200"
"49","4.9532","98.000"
"50","5.0972","99.000"
"51","5.1931","100.400"
"52","5.2570","99.200"
"53","5.3529","97.200"
"54","5.4490","97.400"
"55","5.5445","96.400"
"56","5.6725","96.000"
"57","5.7683","92.800"
"58","5.8483","89.400"
"59","5.9440","92.200"
"60","6.0401","89.000"
"61","6.1680","89.800"
"62","6.2637","89.800"
"63","6.3598","88.200"
"64","6.4556","89.600"
"65","6.5512","85.600"
"66","6.6471","85.000"
"67","6.7432","79.000"
"68","6.8552","78.600"
"69","6.9509","79.400"
"70","7.0786","77.800"
"71","7.1425","76.400"
"72","7.2384","75.800"
"73","7.3665","72.600"
"74","7.4623","72.200"
"75","7.5581","69.000"
"76","7.6537","68.800"
"77","7.7498","68.400"
"78","7.8455","66.000"
"79","7.9413","66.800"
"80","8.0371","67.800"
"81","8.1650","66.200"
"82","8.2449","65.200"
"83","8.3568","65.600"
